
Difficulty Step	Multi	Chance	       Limbo Chance	 Diff	       Net Gain
Easy	1	1.03	95.000000	96.11650485	-1.11650485	0.03
Easy	2	1.09	90.000000	90.82568807	-0.82568807	0.09
Easy	3	1.15	85.000000	86.08695652	-1.08695652	0.15
Easy	4	1.23	80.000000	80.48780488	-0.48780488	0.23
Easy	5	1.31	75.000000	75.57251908	-0.57251908	0.31
Easy	6	1.40	70.000000	70.71428571	-0.71428571	0.40
Easy	7	1.51	65.000000	65.56291391	-0.56291391	0.51
Easy	8	1.63	60.000000	60.73619632	-0.73619632	0.63
Easy	9	1.78	55.000000	55.61797753	-0.61797753	0.78
Easy	10	1.96	50.000000	50.51020408	-0.51020408	0.96
Easy	11	2.18	45.000000	45.41284404	-0.41284404	1.18
Easy	12	2.45	40.000000	40.40816327	-0.40816327	1.45
Easy	13	2.80	35.000000	35.35714286	-0.35714286	1.80
Easy	14	3.27	30.000000	30.27522936	-0.27522936	2.27
Easy	15	3.92	25.000000	25.25510204	-0.25510204	2.92
Easy	16	4.90	20.000000	20.20408163	-0.20408163	3.90
Easy	17	6.53	15.000000	15.16141253	-0.16141253	5.53
Easy	18	9.80	10.000000	10.10204082	-0.10204082	8.80
Easy	19	19.60	5.000000	5.05102041	-0.05102041	18.60
Medium	1	1.15	85.000000	86.08695652	-1.08695652	0.15
Medium	2	1.37	71.578947	72.26277372	-0.68382672	0.37
Medium	3	1.64	59.649123	60.36585366	-0.71673066	0.64
Medium	4	2.00	49.122807	49.50000000	-0.37719300	1.00
Medium	5	2.46	39.912281	40.24390244	-0.33162144	1.46
Medium	6	3.07	31.929825	32.24592774	-0.31610274	2.07
Medium	7	3.91	25.087719	25.31815389	-0.23043489	2.91
Medium	8	5.08	19.298246	19.48818898	-0.18994298	4.08
Medium	9	6.77	14.473684	14.61979167	-0.14610767	5.77
Medium	10	9.31	10.526316	10.63588040	-0.10956440	8.31
Medium	11	13.30	7.368421	7.44360902	-0.07518802	12.30
Medium	12	19.95	4.912281	4.96240602	-0.05012502	18.95
Medium	13	31.92	3.070175	3.10025078	-0.03007578	30.92
Medium	14	55.86	1.754386	1.77159044	-0.01720444	54.86
Medium	15	111.72	0.877193	0.88652482	-0.00933182	110.72
Medium	16	279.30	0.350877	0.35460993	-0.00373293	278.30
Medium	17	1117.20	0.087719	0.08865248	-0.00093348	1116.20
Hard	1	1.31	75.000000	75.57251908	-0.57251908	0.31
Hard	2	1.77	55.263158	55.93220339	-0.66904539	0.77
Hard	3	2.46	39.912281	40.24390244	-0.33162144	1.46
Hard	4	3.48	28.173375	28.44827586	-0.27490086	2.48
Hard	5	5.06	19.369195	19.56692913	-0.19773413	4.06
Hard	6	7.59	12.912797	13.03952637	-0.12672937	6.59
Hard	7	11.81	8.301084	8.38526456	-0.08418056	10.81
Hard	8	19.18	5.108359	5.16101299	-0.05265399	18.18
Hard	9	32.89	2.979876	3.01063940	-0.03076340	31.89
Hard	10	60.29	1.625387	1.64231776	-0.01693076	59.29
Hard	11	120.59	0.812693	0.82075888	-0.00806588	119.59
Hard	12	271.32	0.361197	0.36482513	-0.00362813	270.32
Hard	13	723.52	0.135449	0.13679268	-0.00134368	722.52
Hard	14	2532.32	0.038700	0.03910572	-0.00040572	2531.32
Hard	15	15193.92	0.006450	0.00651114	-0.00006114	15192.92
Expert	1	1.96	50.000000	50.51020408	-0.51020408	0.96
Expert	2	4.14	23.684211	23.91304348	-0.22883248	3.14
Expert	3	9.31	10.526316	10.63588040	-0.10956440	8.31
Expert	4	22.61	4.334365	4.37814570	-0.04378070	21.61
Expert	5	60.29	1.625387	1.64231776	-0.01693076	59.29
Expert	6	180.88	0.541796	0.54707379	-0.00527779	179.88
Expert	7	633.08	0.154799	0.15636455	-0.00156555	632.08
Expert	8	2743.35	0.035723	0.03609476	-0.00037176	2742.35
Expert	9	16460.08	0.005954	0.00601464	-0.00006064	16459.08
Expert	10	181060.88	0.000541	0.00054674	-0.00000574	181059.88
